Temps,RaspberryPi2,RaspberryPi3
0,0.04051495,0.04541721
1,0.0411468,0.04393935
2,0.04580885,0.04716566
3,0.04429485,0.04139931
4,0.04609388,0.03953961
5,0.04512733,0.0418406
6,0.04545795,0.04157565
7,0.0462201,0.04292983
8,0.0442808,0.04303393
9,0.04401098,0.04196403
10,0.04609853,0.04252655
11,0.04621915,0.04378613
12,0.04479598,0.04041598
13,0.04448501,0.04287983
14,0.04445699,0.04137095
15,0.04401361,0.04565311
16,0.04725756,0.04678135
17,0.0484443,0.0426455
18,0.0452189,0.04381521
19,0.04536051,0.04762239
20,0.04379911,0.04401098
21,0.04468146,0.04609853
22,0.04596923,0.04621915
23,0.04534906,0.04479598
24,0.04544435,0.04448501
25,0.04475561,0.04445699
26,0.04378613,0.04816566
27,0.04041598,0.03439931
28,0.04287983,0.03953961
29,0.0484443,0.0418406
30,0.0452189,0.04157565
31,0.04536051,0.04303393
32,0.04379911,0.04196403
33,0.04468146,0.04252655
34,0.04596923,0.04378613
35,0.04534906,0.04041598
36,0.04544435,0.04287983
37,0.04475561,0.04137095
38,0.04378613,0.04725756
39,0.04041598,0.0484443
40,0.04287983,0.0452189
41,0.04041598,0.04536051
42,0.04287983,0.04379911
43,0.05416566,0.04468146
44,0.03939931,0.04596923
45,0.03953961,0.04725756
46,0.0418406,0.0484443
47,0.04157565,0.0452189
48,0.04303393,0.04536051
49,0.04378613,0.04379911
50,0.04041598,0.04468146
